//year     ,concentration
1882.33     ,8.854
1882.42     ,8.854
1882.5     ,8.854
1882.58     ,8.854
1882.67     ,8.854
1882.75     ,8.854
1882.83     ,8.854
1882.92     ,8.854
1883     ,8.854
1883.08     ,8.854
1883.17     ,8.854
1883.25     ,8.854
1883.33     ,8.854
1883.42     ,8.854
1883.5     ,8.854
1883.58     ,8.854
1883.67     ,8.854
1883.75     ,8.854
1883.83     ,8.854
1883.92     ,8.854
1884     ,8.854
1884.08     ,8.854
1884.17     ,8.854
1884.25     ,8.854
1884.33     ,8.854
1884.42     ,8.854
1884.5     ,8.854
1884.58     ,8.854
1884.67     ,8.854
1884.75     ,8.854
1884.83     ,8.854
1884.92     ,8.854
1885     ,8.854
1885.08     ,8.854
1885.17     ,8.854
1885.25     ,8.854
1885.33     ,8.854
1885.42     ,8.854
1885.5     ,8.854
1885.58     ,8.854
1885.67     ,8.854
1885.75     ,8.854
1885.83     ,8.854
1885.92     ,8.854
1886     ,8.854
1886.08     ,8.854
1886.17     ,8.854
1886.25     ,8.854
1886.33     ,8.854
1886.42     ,8.854
1886.5     ,8.854
1886.58     ,8.854
1886.67     ,8.854
1886.75     ,8.854
1886.83     ,8.854
1886.92     ,8.854
1887     ,8.854
1887.08     ,8.854
1887.17     ,8.854
1887.25     ,8.854
1887.33     ,8.854
1887.42     ,8.854
1887.5     ,8.854
1887.58     ,8.854
1887.67     ,8.854
1887.75     ,8.854
1887.83     ,8.854
1887.92     ,8.854
1888     ,8.854
1888.08     ,8.854
1888.17     ,8.854
1888.25     ,8.854
1888.33     ,8.854
1888.42     ,8.854
1888.5     ,8.854
1888.58     ,8.854
1888.67     ,8.854
1888.75     ,8.854
1888.83     ,8.854
1888.92     ,8.854
1889     ,8.854
1889.08     ,8.854
1889.17     ,8.854
1889.25     ,8.854
1889.33     ,8.854
1889.42     ,8.854
1889.5     ,8.854
1889.58     ,8.854
1889.67     ,8.854
1889.75     ,8.854
1889.83     ,8.854
1889.92     ,8.854
1890     ,8.854
1890.08     ,8.854
1890.17     ,8.854
1890.25     ,8.854
1890.33     ,8.854
1890.42     ,8.854
1890.5     ,8.854
1890.58     ,8.854
1890.67     ,8.854
1890.75     ,8.854
1890.83     ,8.854
1890.92     ,8.854
1891     ,8.854
1891.08     ,8.854
1891.17     ,8.854
1891.25     ,8.854
1891.33     ,8.854
1891.42     ,8.854
1891.5     ,8.854
1891.58     ,8.854
1891.67     ,8.854
1891.75     ,8.854
1891.83     ,8.854
1891.92     ,8.854
1892     ,8.854
1892.08     ,8.854
1892.17     ,8.854
1892.25     ,8.854
1892.33     ,8.854
1892.42     ,8.854
1892.5     ,8.854
1892.58     ,8.854
1892.67     ,8.854
1892.75     ,8.854
1892.83     ,8.854
1892.92     ,8.854
1893     ,8.854
1893.08     ,8.854
1893.17     ,8.854
1893.25     ,8.854
1893.33     ,8.854
1893.42     ,8.854
1893.5     ,8.854
1893.58     ,8.854
1893.67     ,8.854
1893.75     ,8.854
1893.83     ,8.854
1893.92     ,8.854
1894     ,8.854
1894.08     ,8.854
1894.17     ,8.854
1894.25     ,8.854
1894.33     ,8.854
1894.42     ,8.854
1894.5     ,8.854
1894.58     ,8.854
1894.67     ,8.854
1894.75     ,8.854
1894.83     ,8.854
1894.92     ,8.854
1895     ,8.854
1895.08     ,8.854
1895.17     ,8.854
1895.25     ,8.854
1895.33     ,8.854
1895.42     ,8.854
1895.5     ,8.854
1895.58     ,8.854
1895.67     ,8.854
1895.75     ,8.854
1895.83     ,8.854
1895.92     ,8.854
1896     ,8.854
1896.08     ,8.854
1896.17     ,8.854
1896.25     ,8.854
1896.33     ,8.854
1896.42     ,8.854
1896.5     ,8.854
1896.58     ,8.854
1896.67     ,8.854
1896.75     ,8.854
1896.83     ,8.854
1896.92     ,8.854
1897     ,8.854
1897.08     ,8.854
1897.17     ,8.854
1897.25     ,8.854
1897.33     ,8.854
1897.42     ,8.854
1897.5     ,8.854
1897.58     ,8.854
1897.67     ,8.854
1897.75     ,8.854
1897.83     ,8.854
1897.92     ,8.854
1898     ,8.854
1898.08     ,8.854
1898.17     ,8.854
1898.25     ,8.854
1898.33     ,8.854
1898.42     ,8.854
1898.5     ,8.854
1898.58     ,8.854
1898.67     ,8.854
1898.75     ,8.854
1898.83     ,8.854
1898.92     ,8.854
1899     ,8.854
1899.08     ,8.854
1899.17     ,8.854
1899.25     ,8.854
1899.33     ,8.854
1899.42     ,8.854
1899.5     ,8.854
1899.58     ,8.854
1899.67     ,8.854
1899.75     ,8.854
1899.83     ,8.854
1899.92     ,8.854
1900     ,8.854
1900.08     ,8.854
1900.17     ,8.854
1900.25     ,8.854
1900.33     ,8.854
1900.42     ,8.854
1900.5     ,8.854
1900.58     ,8.854
1900.67     ,8.854
1900.75     ,8.854
1900.83     ,8.854
1900.92     ,8.854
1901     ,8.854
1901.08     ,8.854
1901.17     ,8.854
1901.25     ,8.854
1901.33     ,8.854
1901.42     ,8.854
1901.5     ,8.854
1901.58     ,8.854
1901.67     ,8.854
1901.75     ,8.854
1901.83     ,8.854
1901.92     ,8.854
1902     ,8.854
1902.08     ,8.854
1902.17     ,8.854
1902.25     ,8.854
1902.33     ,8.854
1902.42     ,8.854
1902.5     ,8.854
1902.58     ,8.854
1902.67     ,8.854
1902.75     ,8.854
1902.83     ,8.854
1902.92     ,8.854
1903     ,8.854
1903.08     ,8.854
1903.17     ,8.854
1903.25     ,8.854
1903.33     ,8.854
1903.42     ,8.854
1903.5     ,8.854
1903.58     ,8.854
1903.67     ,8.854
1903.75     ,8.854
1903.83     ,8.854
1903.92     ,8.854
1904     ,8.854
1904.08     ,8.854
1904.17     ,8.854
1904.25     ,8.854
1904.33     ,8.854
1904.42     ,8.854
1904.5     ,8.854
1904.58     ,8.854
1904.67     ,8.854
1904.75     ,8.854
1904.83     ,8.854
1904.92     ,8.854
1905     ,8.854
1905.08     ,8.854
