//year,concentration
1940.00,2.00
1940.08,2.00
1940.17,2.00
1940.25,2.00
1940.33,2.00
1940.42,2.00
1940.50,2.00
1940.58,2.00
1940.67,2.00
1940.75,2.00
1940.83,2.00
1940.92,2.00
1941.00,2.00
1941.08,2.00
1941.17,2.00
1941.25,2.00
1941.33,2.00
1941.42,2.00
1941.50,2.00
1941.58,2.00
1941.67,2.00
1941.75,2.00
1941.83,2.00
1941.92,2.00
1942.00,2.00
1942.08,2.00
1942.17,2.00
1942.25,2.00
1942.33,2.00
1942.42,2.00
1942.50,2.00
1942.58,2.00
1942.67,2.00
1942.75,2.00
1942.83,2.00
1942.92,2.00
1943.00,2.00
1943.08,2.00
1943.17,2.00
1943.25,2.00
1943.33,2.00
1943.42,2.00
1943.50,2.00
1943.58,2.00
1943.67,2.00
1943.75,2.00
1943.83,2.00
1943.92,2.00
1944.00,2.00
1944.08,2.00
1944.17,2.00
1944.25,2.00
1944.33,2.00
1944.42,2.00
1944.50,2.00
1944.58,2.00
1944.67,2.00
1944.75,2.00
1944.83,2.00
1944.92,2.00
1945.00,2.85
1945.08,2.85
1945.17,2.85
1945.25,2.85
1945.33,2.85
1945.42,2.85
1945.50,3.41
1945.58,3.41
1945.67,3.41
1945.75,3.41
1945.83,3.41
1945.92,3.41
1946.00,3.97
1946.08,3.97
1946.17,3.97
1946.25,3.97
1946.33,3.97
1946.42,3.97
1946.50,4.27
1946.58,4.27
1946.67,4.27
1946.75,4.27
1946.83,4.27
1946.92,4.27
1947.00,4.57
1947.08,4.57
1947.17,4.57
1947.25,4.57
1947.33,4.57
1947.42,4.57
1947.50,4.40
1947.58,4.40
1947.67,4.40
1947.75,4.40
1947.83,4.40
1947.92,4.40
1948.00,4.24
1948.08,4.24
1948.17,4.24
1948.25,4.24
1948.33,4.24
1948.42,4.24
1948.50,4.02
1948.58,4.02
1948.67,4.02
1948.75,4.02
1948.83,4.02
1948.92,4.02
1949.00,3.79
1949.08,3.79
1949.17,3.79
1949.25,3.79
1949.33,3.79
1949.42,3.79
1949.50,4.26
1949.58,4.26
1949.67,4.26
1949.75,4.26
1949.83,4.26
1949.92,4.26
1950.00,4.74
1950.08,4.74
1950.17,4.74
1950.25,4.74
1950.33,4.74
1950.42,4.74
1950.50,5.10
1950.58,5.10
1950.67,5.10
1950.75,5.10
1950.83,5.10
1950.92,5.10
1951.00,5.46
1951.08,5.46
1951.17,5.46
1951.25,5.46
1951.33,5.46
1951.42,5.46
1951.50,5.62
1951.58,5.62
1951.67,5.62
1951.75,5.62
1951.83,5.62
1951.92,5.62
1952.00,5.78
1952.08,5.78
1952.17,5.78
1952.25,5.78
1952.33,5.78
1952.42,5.78
1952.50,5.83
1952.58,5.83
1952.67,5.83
1952.75,5.83
1952.83,5.83
1952.92,5.83
1953.00,5.88
1953.08,5.88
1953.17,5.88
1953.25,5.88
1953.33,5.88
1953.42,5.88
1953.50,6.22
1953.58,6.22
1953.67,6.22
1953.75,6.22
1953.83,6.22
1953.92,6.22
1954.00,6.55
1954.08,6.55
1954.17,6.55
1954.25,6.55
1954.33,6.55
1954.42,6.55
1954.50,7.12
1954.58,7.12
1954.67,7.12
1954.75,7.12
1954.83,7.12
1954.92,7.12
1955.00,7.69
1955.08,7.69
1955.17,7.69
1955.25,7.69
1955.33,7.69
1955.42,7.69
1955.50,8.00
1955.58,8.00
1955.67,8.00
1955.75,8.00
1955.83,8.00
1955.92,8.00
1956.00,8.32
1956.08,8.32
1956.17,8.32
1956.25,8.32
1956.33,8.32
1956.42,8.32
1956.50,8.64
1956.58,8.64
1956.67,8.64
1956.75,8.64
1956.83,8.64
1956.92,8.64
1957.00,8.96
1957.08,8.96
1957.17,8.96
1957.25,8.96
1957.33,8.96
1957.42,8.96
1957.50,9.06
1957.58,9.06
1957.67,9.06
1957.75,9.06
1957.83,9.06
1957.92,9.06
1958.00,9.17
1958.08,9.17
1958.17,9.17
1958.25,9.17
1958.33,9.17
1958.42,9.17
1958.50,9.61
1958.58,9.61
1958.67,9.61
1958.75,9.61
1958.83,9.61
1958.92,9.61
1959.00,10.06
1959.08,10.06
1959.17,10.06
1959.25,10.06
1959.33,10.06
1959.42,10.06
1959.50,10.02
1959.58,10.02
1959.67,10.02
1959.75,10.02
1959.83,10.02
1959.92,10.02
1960.00,9.98
1960.08,9.98
1960.17,9.98
1960.25,9.98
1960.33,9.98
1960.42,9.98
1960.50,10.16
1960.58,10.16
1960.67,10.16
1960.75,10.16
1960.83,10.16
1960.92,10.16
1961.00,10.35
1961.08,10.35
1961.17,10.35
1961.25,10.35
1961.33,10.35
1961.42,10.35
1961.50,10.40
1961.58,10.40
1961.67,10.40
1961.75,10.40
1961.83,10.40
1961.92,10.40
1962.00,10.44
1962.08,10.44
1962.17,10.44
1962.25,10.44
1962.33,10.44
1962.42,10.44
1962.50,10.79
1962.58,10.79
1962.67,10.79
1962.75,10.79
1962.83,10.79
1962.92,10.79
1963.00,11.13
1963.08,11.13
1963.17,11.13
1963.25,11.13
1963.33,11.13
1963.42,11.13
1963.50,11.60
1963.58,11.60
1963.67,11.60
1963.75,11.60
1963.83,11.60
1963.92,11.60
1964.00,12.06
1964.08,12.06
1964.17,12.06
1964.25,12.06
1964.33,12.06
1964.42,12.06
1964.50,12.22
1964.58,12.22
1964.67,12.22
1964.75,12.22
1964.83,12.22
1964.92,12.22
1965.00,12.38
1965.08,12.38
1965.17,12.38
1965.25,12.38
1965.33,12.38
1965.42,12.38
1965.50,12.25
1965.58,12.25
1965.67,12.25
1965.75,12.25
1965.83,12.25
1965.92,12.25
1966.00,12.12
1966.08,12.12
1966.17,12.12
1966.25,12.12
1966.33,12.12
1966.42,12.12
1966.50,12.44
1966.58,12.44
1966.67,12.44
1966.75,12.44
1966.83,12.44
1966.92,12.44
1967.00,12.75
1967.08,12.75
1967.17,12.75
1967.25,12.75
1967.33,12.75
1967.42,12.75
1967.50,12.95
1967.58,12.95
1967.67,12.95
1967.75,12.95
1967.83,12.95
1967.92,12.95
1968.00,13.15
1968.08,13.15
1968.17,13.15
1968.25,13.15
1968.33,13.15
1968.42,13.15
1968.50,12.68
1968.58,12.68
1968.67,12.68
1968.75,12.68
1968.83,12.68
1968.92,12.68
1969.00,12.21
1969.08,12.21
1969.17,12.21
1969.25,12.21
1969.33,12.21
1969.42,12.21
1969.50,12.49
1969.58,12.49
1969.67,12.49
1969.75,12.49
1969.83,12.49
1969.92,12.49
1970.00,12.77
1970.08,12.77
1970.17,12.77
1970.25,12.77
1970.33,12.77
1970.42,12.77
1970.50,12.70
1970.58,12.70
1970.67,12.70
1970.75,12.70
1970.83,12.70
1970.92,12.70
1971.00,12.62
1971.08,12.62
1971.17,12.62
1971.25,12.62
1971.33,12.62
1971.42,12.62
1971.50,13.14
1971.58,13.14
1971.67,13.14
1971.75,13.14
1971.83,13.14
1971.92,13.14
1972.00,13.65
1972.08,13.65
1972.17,13.65
1972.25,13.65
1972.33,13.65
1972.42,13.65
1972.50,13.69
1972.58,13.69
1972.67,13.69
1972.75,13.69
1972.83,13.69
1972.92,13.69
1973.00,13.73
1973.08,13.73
1973.17,13.73
1973.25,13.73
1973.33,13.73
1973.42,13.73
1973.50,14.49
1973.58,14.49
1973.67,14.49
1973.75,14.49
1973.83,14.49
1973.92,14.49
1974.00,15.24
1974.08,15.24
1974.17,15.24
1974.25,15.24
1974.33,15.24
1974.42,15.24
1974.50,15.49
1974.58,15.49
1974.67,15.49
1974.75,15.49
1974.83,15.49
1974.92,15.49
1975.00,15.74
1975.08,15.74
1975.17,15.74
1975.25,15.74
1975.33,15.74
1975.42,15.74
1975.50,15.94
1975.58,15.94
1975.67,15.94
1975.75,15.94
1975.83,15.94
1975.92,15.94
1976.00,16.14
1976.08,16.14
1976.17,16.14
1976.25,16.14
1976.33,16.14
1976.42,16.14
1976.50,15.44
1976.58,15.44
1976.67,15.44
1976.75,15.44
1976.83,15.44
1976.92,15.44
1977.00,14.73
1977.08,14.73
1977.17,14.73
1977.25,14.73
1977.33,14.73
1977.42,14.73
1977.50,14.07
1977.58,14.07
1977.67,14.07
1977.75,14.07
1977.83,14.07
1977.92,14.07
1978.00,13.41
1978.08,13.41
1978.17,13.41
1978.25,13.41
1978.33,13.41
1978.42,13.41
1978.50,13.63
1978.58,13.63
1978.67,13.63
1978.75,13.63
1978.83,13.63
1978.92,13.63
1979.00,13.85
1979.08,13.85
1979.17,13.85
1979.25,13.85
1979.33,13.85
